Fecha,Persona,Comercio,Descripcion,Monto
01/02/26 12:15 PM,Casa,Pali,GALLETAS YUMMY,"1,440"
01/02/26 12:15 PM,Casa,Pali,JABON LAVAPLATOS,"1,000"
01/02/26 12:15 PM,Casa,Pali,MELON,532
01/02/26 12:15 PM,Casa,Pali,NATILLA DELACTOMY,"1,440"
01/02/26 12:15 PM,Casa,Pali,PAPA,"2,145"
01/03/26 03:45 PM,Casa,Pali,CAFE VOLIO,"2,130"
01/03/26 03:45 PM,Casa,Pali,CAFE VOLIO,"4,450"
01/03/26 03:45 PM,Andres,Pali,CEPILLO DIENTES,"1,530"
01/03/26 03:45 PM,Casa,Pali,HUEVOS,"2,054"
01/03/26 03:45 PM,Casa,Pali,LECHE DELACTOMY,690
01/03/26 03:45 PM,Casa,Pali,SALSA LIZANO,990
01/03/26 03:45 PM,Casa,Pali,TOMATE,367
01/06/26 06:17 PM,Casa,Pali,MANZANAS,500
01/06/26 06:17 PM,Casa,Pali,SANDIA,614
01/07/26 05:30 PM,Casa,Pali,AJOS,380
01/07/26 05:30 PM,Casa,Pali,APIO,460
01/07/26 05:30 PM,Casa,Pali,CAMOTE,"2,265"
01/07/26 05:30 PM,Casa,Pali,CEBOLLA,580
01/07/26 05:30 PM,Casa,Pali,CULANTRO,200
01/07/26 05:30 PM,Casa,Pali,CULANTRO,190
01/07/26 05:30 PM,Casa,Pali,GUAYABA,910
01/07/26 05:30 PM,Casa,Pali,MANGA,"1,392"
01/07/26 05:30 PM,Casa,Pali,MELON,731
01/07/26 05:30 PM,Casa,Pali,PAPA,"1,962"
01/07/26 05:30 PM,Casa,Pali,PLATANO,"1,240"
01/07/26 05:30 PM,Casa,Pali,TIQUISQUE,612
01/07/26 05:30 PM,Casa,Pali,TOMATE,"1,184"
01/07/26 05:30 PM,Casa,Pali,ZANAHORIA,230
01/07/26 05:30 PM,Casa,Pali,ZUCHINI,"1,800"
01/13/26 03:16 PM,Casa,Pali,GALLETAS SODAS,411
01/13/26 03:16 PM,Casa,Pali,LIMONES,740
01/13/26 03:16 PM,Casa,Pali,TORTILLAS MAIZ,930
01/13/26 03:21 PM,Casa,Bazar Magy,CONTROLADOR OLORES,"2,500"
01/14/26 06:35 PM,Casa,Pali,CLORO,"1,120"
01/18/26 11:40 AM,Casa,Maxi,ALCOHOL,"4,330"
01/18/26 11:40 AM,Casa,Maxi,AROMATIZANTE,"2,850"
01/18/26 11:40 AM,Andres,Maxi,AXE,"5,700"
01/18/26 11:40 AM,Casa,Maxi,CAFE VOLIO,"2,000"
01/18/26 11:40 AM,Casa,Maxi,JABON CUERPO,"1,250"
01/18/26 11:40 AM,Casa,Maxi,JABON CUERPO,"1,440"
01/18/26 11:40 AM,Mari,Maxi,JABON NEUTRO,"4,000"
01/18/26 11:40 AM,Mari,Maxi,KOTEX,"1,440"
01/18/26 11:40 AM,Casa,Maxi,MAIZ,"1,800"
01/18/26 11:40 AM,Casa,Maxi,QUESO FRESCO,"1,630"
01/18/26 11:40 AM,Casa,Maxi,RES CHORIZO,"2,850"
01/18/26 11:40 AM,Casa,Maxi,SALSA RANCH,"2,490"
01/18/26 11:40 AM,Casa,Maxi,TOCINETA,"3,650"
01/18/26 11:40 AM,Casa,Maxi,TOCINETA,"2,120"
01/19/26 01:35 PM,Casa,Pali,H2O LIMON,"1,050"
01/19/26 01:35 PM,Casa,Pali,HUEVOS,"1,536"
01/19/26 01:35 PM,Casa,Pali,HUEVOS,"1,635"
01/19/26 01:35 PM,Casa,Pali,MANTEQUILLA,"1,270"
01/19/26 01:35 PM,Casa,Pali,NATILLA DELACTOMY,"1,680"
01/19/26 01:35 PM,Casa,Pali,QUESO CREMA,"2,000"
01/20/26 07:31 PM,Casa,Pali,AZUCAR MORENA,"1,850"
01/20/26 07:31 PM,Casa,Pali,LIMONES,790
01/20/26 07:31 PM,Casa,Pali,MANZANAS,740
01/20/26 07:31 PM,Casa,Pali,PAN ARTESANO,"1,500"
01/20/26 07:31 PM,Casa,Pali,TORTILLAS MAIZ,900
01/23/26 05:07 PM,Casa,Pali,POLLO TORTAS,"2,500"
01/24/26 05:42 PM,Casa,Pali,AJOS,440
01/24/26 05:42 PM,Casa,Pali,CAFE VOLIO,"3,500"
01/24/26 05:42 PM,Casa,Pali,LECHE DELACTOMY,720
01/24/26 05:42 PM,Casa,Pali,MANZANAS,890
01/24/26 05:42 PM,Casa,Pali,NATILLA DELACTOMY,"1,680"
01/24/26 05:42 PM,Casa,Pali,PECHUGA,"1,760"
01/24/26 05:42 PM,Casa,Pali,TORTILLAS MAIZ,900
01/24/26 05:42 PM,Casa,Pali,TORTILLAS TRIGO,880
01/24/26 05:42 PM,Casa,Pali,TORTILLAS TRIGO,"1,900"
01/24/26 05:42 PM,Casa,Pali,TROPICAL,"1,180"
01/26/26 01:33 PM,Casa,Pali,ARROZ,"2,600"
01/26/26 01:33 PM,Casa,Pali,CONSOME KNORR,840
01/26/26 01:33 PM,Casa,Pali,CULANTRO,190
01/26/26 01:33 PM,Casa,Pali,PAPA,"2,530"
01/26/26 01:33 PM,Casa,Pali,PAPEL HIGIENICO,"2,000"
01/26/26 01:33 PM,Casa,Pali,SALSA BBQ,"1,990"
01/26/26 01:33 PM,Casa,Pali,SALSA LIZANO,"2,000"
01/26/26 01:33 PM,Casa,Pali,SALSA MAYONESA,"1,280"
01/26/26 01:33 PM,Casa,Pali,TOALLA COCINA,870
01/28/26 07:13 PM,Casa,Pali,BOLSAS,630
01/28/26 07:13 PM,Casa,Pali,BOLSAS,670
01/28/26 07:13 PM,Casa,Pali,DESENGRASANTE,"1,980"
01/28/26 07:13 PM,Casa,Pali,JUGO NARANJA,"1,750"
01/28/26 07:13 PM,Casa,Pali,PAN ARTESANO,"1,500"
01/28/26 07:13 PM,Casa,Pali,TORTILLAS MAIZ,900
01/29/26 12:25 PM,Casa,Pali,HELADOS,"3,500"
01/30/26 07:21 PM,Casa,Pali,CARNE MOLIDA,"3,160"
01/30/26 07:21 PM,Casa,Pali,POLLO MUSLITOS,"4,810"
02/01/26 05:18 PM,Casa,Pali,GINGERALE,"1,770"
02/04/26 05:38 PM,Casa,Pali,APIO,701
02/04/26 05:38 PM,Casa,Pali,ATUNES,"2,310"
02/04/26 05:38 PM,Casa,Pali,CARNE MECHAR,"7,709"
02/04/26 05:38 PM,Casa,Pali,CERDO BISTEC,"2,021"
02/04/26 05:38 PM,Casa,Pali,CERDO BISTEC,"3,699"
02/04/26 05:38 PM,Casa,Pali,CHULETA AHUMADA,"3,350"
02/04/26 05:38 PM,Casa,Pali,CHULETA AHUMADA,"3,768"
02/04/26 05:38 PM,Casa,Pali,CHULETA AHUMADA,"4,273"
02/04/26 05:38 PM,Casa,Pali,DESINFECTANTE,670
02/04/26 05:38 PM,Casa,Pali,GELATINA,"1,440"
02/04/26 05:38 PM,Casa,Pali,HUEVOS,757
02/04/26 05:38 PM,Casa,Pali,HUEVOS,774
02/04/26 05:38 PM,Casa,Pali,LECHE DELACTOMY,720
02/04/26 05:38 PM,Casa,Pali,LECHE DELACTOMY,740
